Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Ecuador,ECU,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.1,..,..,..,..,3.72,..,..,..,..,3.17,..,..,..,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.69,..,..,..,..,1.8,..,..,..,..,2.18,..,..,..,..,..,..,..,..,..,..
El Salvador,SLV,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.95,..,..,..,..,2.15,..,..,..,..,4.13,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,9.79,..,..,..,..,10.4,..,..,..,..,11.16,..,..,..,..,..,..,..,..,..,..
Eswatini,SWZ,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.19,..,..,..,..,0.88,..,..,..,..,1.05,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,5.8,..,..,..,..,5.24,..,..,..,..,5.72,..,..,..,..,..,..,..,..,..,..
Finland,FIN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,5.48,..,..,..,..,6.35,..,..,..,..,9.49,..,..,..,..,..,..,..,..,..,..
France,FRA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,8,..,..,..,..,9.34,..,..,..,..,7.28,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.55,..,..,..,..,0.58,..,..,..,..,0.8,..,..,..,..,..,..,..,..,..,..
"Gambia, The",GMB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.87,..,..,..,..,0.94,..,..,..,..,1.02,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,8.36,..,..,..,..,9.64,..,..,..,..,11.4,..,..,..,..,..,..,..,..,..,..
Ghana,GHA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.48,..,..,..,..,2.08,..,..,..,..,2.4,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.09,..,..,..,..,8.75,..,..,..,..,5.91,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.93,..,..,..,..,1.73,..,..,..,..,1.87,..,..,..,..,..,..,..,..,..,..
Guinea,GIN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,GUY,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.36,..,..,..,..,4.42,..,..,..,..,4.49,..,..,..,..,..,..,..,..,..,..
